limited,2
United,3
particularly,1
remarkable,1
represent,1
when,2
over,1
through,2
disease-modifying,2
shorter,1
monitored,1
disorders,1
repurposed,1
outside,1
than,3
AD,9
failed,1
only,1
molecules,2
has,4
drug-development,4
to,2
regarding,1
period,1
test,1
therapy,1
they,1
unlikely,1
unique,1
NIH,1
resource,1
success,1
excluding,1
cognition,1
large,1
small,5
agents,7
FDA,1
the,16
smaller,1
exists,1
Repurposed,1
urgent,1
rate,2
are,4
entering,3
targets,1
More,1
provided,1
phases,1
for,4
compounds,1
currently,1
increase,1
3,3
provides,1
new,1
therapies,2
movement,1
be,3
This,1
108,1
address,2
represented,1
analyses,1
by,1
declining,1
improve,1
pipeline,6
2002,1
country,1
industry,1
drug,4
suggests,1
conducted,1
and,7
number,6
one,1
accounts,1
registration,1
99.6%,1
pharmaceutical,1
few,1
been,2
Most,2
2,1
clinical,5
percentage,1
was,1
more,1
Currently,1
that,3
drugs,3
concerning,1
symptomatic,1
but,3
failure,1
with,2
94,1
immunotherapies,1
target,1
inside,1
single,2
will,1
patients,1
can,2
of,16
demonstrate,1
amyloid-beta,1
toward,1
at,1
ClinicalTrials.gov,2
required,1
successfully,1
process,1
is,6
it,2
agent,1
as,1
experience,1
have,2
in,4
need,1
seen,1
any,2
relatively,5
information,2
since,4
trials,9
whereas,1
progressing,1
1,1
also,1
other,2
largest,1
Phase,5
development,4
intended,1
may,1
comprehensive,1
time,1
sponsors,2
most,2
assessed,1
The,6
approved,1
a,4
memantine,1
later,1
An,1
States,3
Trends,1
2007,1
2004,1
enter,2
2008,1
2009,1

