City,Country,IATA,CA,MU,CZ,HU
"Abu Dhabi","United Arab Emirates",AUH,NULL,NULL,NULL,yes
"Addis Ababa",Ethiopia,ADD,yes,NULL,NULL,NULL
Aksu,"People's Republic of China",AKU,yes,NULL,yes,yes
Almaty,Kazakhstan,ALA,yes,NULL,yes,yes
Altay,"People's Republic of China",AAT,NULL,NULL,yes,NULL
Amsterdam,Netherlands,AMS,NULL,NULL,yes,NULL
Anchorage,"United States",ANC,NULL,yes,yes,NULL
Ankang,"People's Republic of China",AKA,NULL,NULL,NULL,yes
Anqing,"People's Republic of China",AQG,NULL,yes,yes,NULL
Anshan,"People's Republic of China",AOG,NULL,NULL,yes,yes
Anshun,"People's Republic of China",AVA,NULL,NULL,yes,NULL
Asahikawa,Japan,AKJ,NULL,yes,NULL,NULL
Ashgabat,Turkmenistan,ASB,NULL,NULL,yes,NULL
Astana,Kazakhstan,TSE,yes,NULL,yes,NULL
Athens,Greece,ATH,yes,NULL,NULL,NULL
Auckland,"New Zealand",AKL,yes,yes,yes,NULL
Baghdad,Iraq,BGW,yes,NULL,NULL,NULL
Bahrain,Bahrain,BAH,NULL,yes,NULL,NULL
Baise,"People's Republic of China",AEB,NULL,NULL,NULL,yes
Baishan,"People's Republic of China",NBS,NULL,yes,yes,NULL
Baku,Azerbaijan,GYD,NULL,NULL,yes,NULL
Bangalore,India,BLR,yes,NULL,NULL,NULL
Bangkok,Thailand,BKK,yes,yes,yes,yes
Baoshan,"People's Republic of China",BSD,NULL,yes,NULL,NULL
Baotou,"People's Republic of China",BAV,yes,yes,yes,yes
Bayannur,"People's Republic of China",RLK,yes,NULL,NULL,NULL
Beihai,"People's Republic of China",BHY,yes,yes,yes,NULL
Beijing,"People's Republic of China",PEK,yes,yes,yes,yes
Belgrade,Serbia,BEG,yes,NULL,NULL,NULL
Berlin,Germany,TXL,yes,NULL,NULL,yes
Bijie,"People's Republic of China",BFJ,NULL,NULL,yes,NULL
Birmingham,"United Kingdom",BHX,NULL,NULL,yes,yes
Bishkek,Kyrgyzstan,FRU,NULL,NULL,yes,yes
Boston,"United States",BOS,NULL,NULL,NULL,yes
Brisbane,Australia,BNE,NULL,yes,yes,NULL
Brussels,Belgium,BRU,NULL,yes,NULL,yes
Budapest,Hungary,BUD,yes,NULL,NULL,yes
Busan,Korea,PUS,yes,yes,yes,yes
Busan,"South Korea",PUS,yes,yes,yes,yes
Cairns,Australia,CNS,NULL,yes,yes,NULL
Cairo,Egypt,CAI,yes,NULL,NULL,yes
Cebu,Philippines,CEB,NULL,yes,yes,yes
Changchun,"People's Republic of China",CGQ,yes,yes,yes,yes
Changde,"People's Republic of China",CGD,yes,NULL,yes,NULL
Changsha,"People's Republic of China",CSX,yes,yes,yes,yes
Changzhi,"People's Republic of China",CIH,yes,yes,yes,yes
Changzhou,"People's Republic of China",CZX,yes,yes,yes,NULL
Chaoyang,"People's Republic of China",CHG,yes,NULL,NULL,NULL
Chengdu,"People's Republic of China",CTU,yes,yes,yes,yes
Cheongju,Korea,CJJ,NULL,yes,yes,NULL
Cheongju,"South Korea",CJJ,NULL,yes,yes,NULL
"Chiang Mai",Thailand,CNX,yes,yes,yes,NULL
"Chiang Rai",Thailand,CEI,NULL,yes,NULL,NULL
Chicago,"United States",ORD,NULL,yes,yes,yes
Chifeng,"People's Republic of China",CIF,yes,yes,NULL,yes
